Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
Peoria Disposal Co,4349 Southport Rd,40.7231,-89.6549,562211,PM2.5 Primary (Filt + Cond,,1.03182091,2011
Grainland Cooperative,2705 County Rd 800 N,40.7074,-89.0232,424510,PM2.5 Primary (Filt + Cond,,0.499410114,2011
Kubota Engine America Corp,505 Schelter,42.1874,-87.9394,423830,PM2.5 Primary (Filt + Cond,,0.01,2011
Concrete Specialties Co,780 S Material Rd,41.5957,-88.0713,327390,PM2.5 Primary (Filt + Cond,,0.7794779,2011
Centralia Cake,100 W Calumet St,38.5187,-89.1406,311824,PM2.5 Primary (Filt + Cond,,0.12103188015,2011
Harsco Minerals a Division of Harsco Corp,226 E 1640 Rd,39.5898,-89.4934,212399,PM2.5 Primary (Filt + Cond,Mineral Processing Plant,1.17957492,2011
CGH Medical Center,100 E Lefevre Rd,41.8024,-89.697,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.165,2011
Leonard s Unit Step of Moline Inc,801 N 2nd Ave,41.5039,-90.3934,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0018711221,2011
IL Bell Telephone Co dba AT&T Illinois,8231 Niles Center Rd,42.0309,-87.7523,517911,PM2.5 Primary (Filt + Cond,,0.00119,2011
HCC Inc,1501 1st Ave,41.558,-89.1068,333111,PM2.5 Primary (Filt + Cond,,0.12,2011
Illinois State University,100 S University St,40.5103,-88.9928,611310,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",2.11,2011
Franklin Hospital,201 Bailey Ln,38.01,-88.9182,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.07,2011
Brintlinger Funeral Home,2827 N Oakland,39.8734,-88.9734,812210,PM2.5 Primary (Filt + Cond,Crematory - Human,0.01,2011
Imperial Valley Terminal LLC,1216 S Water,40.2868,-90.075,424510,PM2.5 Primary (Filt + Cond,,0.4193365667,2011
St. Marys Cement Inc (US),12101 S Doty Ave,41.6725,-87.5909,423320,PM2.5 Primary (Filt + Cond,,0.18181815,2011
Fox Ridge Stone Co,6110 Route 71,41.667,-88.3706,327991,PM2.5 Primary (Filt + Cond,,0.05,2011
Glenn,Unknown,41.8022,-87.7874,488210,PM2.5 Primary (Filt + Cond,Rail Yard,4.09363,2011
Westlake Hospital,1225 Lake St,41.8929,-87.8488,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.182,2011
Glen Oaks Medical Center,701 Winthrop Ave,41.9147,-88.0571,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.045721,2011
America Material Sales,351 Royce Rd,41.7227,-88.0732,212312,PM2.5 Primary (Filt + Cond,,0.062972339,2011
Mars Chocolate North America LLC,2019 N Oak Park Ave,41.9173,-87.7935,311352,PM2.5 Primary (Filt + Cond,,1.207924679,2011
EDWARD GETZELMAN,Unknown,42.1273,-88.53,48811,PM2.5 Primary (Filt + Cond,Airport,0.00846748,2011
Kendall County Concrete Inc,695 Route 34,41.7241,-88.2746,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Quad County Ready Mix,9240 E Sahara Rd,38.3301,-88.9754,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.27859264,2011
American Demolition Corporation,90 N Finley Rd,41.863,-88.03,238190,PM2.5 Primary (Filt + Cond,,0.077861,2011
Peter Baker & Son Co,32254 N Fox Lake Rd,42.3336,-88.175,324121,PM2.5 Primary (Filt + Cond,,3.107831735,2011
Prairie Farms Dairy Inc,742 N Illinois Ave,37.7353,-89.2188,311511,PM2.5 Primary (Filt + Cond,Food Products Processing Plant,0.1,2011
KCBX Terminals Co,3259 E 100th St,41.7116,-87.5467,423520,PM2.5 Primary (Filt + Cond,,3.57,2011
Stonecasters LLC,1250 Henri Dr,42.2795,-88.1448,327999,PM2.5 Primary (Filt + Cond,,0.122542,2011
Reliable Materials Lyons LLC,4401 S 1st Ave,41.8138,-87.8317,212321,PM2.5 Primary (Filt + Cond,,0.2996512,2011
CoreFX Ingredients LLC,12495 N Pleasant Hill Rd,42.482,-89.5552,311999,PM2.5 Primary (Filt + Cond,,5.8653226,2011
Superior Coating Corp,6860 Indy Dr,42.2495,-88.8988,332812,PM2.5 Primary (Filt + Cond,,0.0203,2011
Pioneer Hi-bred International Inc,RR 2 Box 69A,38.247,-88.5363,115114,PM2.5 Primary (Filt + Cond,,0.537803,2011
Trainor Grain & Supply Co,E N St,41.0971,-88.4176,424510,PM2.5 Primary (Filt + Cond,,0.41731433,2011
REG Seneca LLC,614 Shipyard Rd,41.3067,-88.5902,325199,PM2.5 Primary (Filt + Cond,Ethanol Biorefineries/Soy Biodiesel,1.17,2011
Kankakee Airport,1520 State Route 115,41.0964,-87.9095,488119,PM2.5 Primary (Filt + Cond,Airport,0.487211,2011
Central Stone Co,2478 E 1600th St,40.1208,-91.2061,212312,PM2.5 Primary (Filt + Cond,,0,2011
Ludlow Coop Elevator Co,24 W Main St,40.7585,-88.1935,424510,PM2.5 Primary (Filt + Cond,,0.373571833,2011
Universal Chemicals & Coatings Inc,1975 Fox Ln,42.0734,-88.3239,325510,PM2.5 Primary (Filt + Cond,,0.00473684,2011
Upchurch Ready Mix Concrete Plant,564 Mildred Ave,38.5705,-90.1761,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.002927271,2011
Graham Packaging Plastic Products Inc,5000 S Major Ave,41.8016,-87.7659,326160,PM2.5 Primary (Filt + Cond,,0.1490724744,2011
39th & Archer LLC,2600 W Pershing Rd,41.8238,-87.6907,926120,PM2.5 Primary (Filt + Cond,,0.07,2011
Winnebago County Justice Center,650 W State St,42.2716,-89.0966,922190,PM2.5 Primary (Filt + Cond,,2.12541,2011
Mallard North Landfill,Greenbrook Blvd,41.969,-88.1424,562212,PM2.5 Primary (Filt + Cond,Landfill,0.08,2011
C & H Gravel Co,4200 E IL 250,38.7222,-88.1154,212321,PM2.5 Primary (Filt + Cond,,0,2011
LSP University Park LLC,787 Industrial Dr,41.443,-87.7517,221112,PM2.5 Primary (Filt + Cond,Electricity Generation via Combustion,4.457054,2011
Donovan Farmers Coop Elevator Hooper Div,RR 1,40.9355,-87.6062,424510,PM2.5 Primary (Filt + Cond,,0.26487608,2011
Sloan Valve Co,10500 Seymour Ave,41.9521,-87.8892,332913,PM2.5 Primary (Filt + Cond,,0.29,2011
Weaver Popcorn Co Inc,19598 N 2800 E,40.3423,-89.8304,311919,PM2.5 Primary (Filt + Cond,,0.896548,2011
Upchurch Ready Mix Concrete Co Inc,950 West Blvd,38.5334,-89.9602,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Valmont Coatings Inc,10909 Franklin Ave,41.9417,-87.8983,332812,PM2.5 Primary (Filt + Cond,,0.8858595,2011
Quad County Ready Mix,1050 N Washington,38.3511,-89.3842,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.001789985,2011
Winpak Portion Packaging Inc,3345 Butler Ave,41.4777,-87.6276,326199,PM2.5 Primary (Filt + Cond,,0.00204952,2011
Veolia Water North America Operating Services inc.,Interstate 55 & Arsenal Rd E Frontage Rd,41.4125,-88.1817,325130,PM2.5 Primary (Filt + Cond,,0.24,2011
Syngenta Seeds Inc,1200 E Southline Rd,39.7926,-88.2612,424910,PM2.5 Primary (Filt + Cond,,0.122248,2011
Chicago Tribune Co,777 W Chicago Ave,41.8954,-87.6457,511110,PM2.5 Primary (Filt + Cond,Printing/Publishing Facility,21.8719,2011
Mid-coast Terminal Co,3202 W 20th St,38.7062,-90.1758,488310,PM2.5 Primary (Filt + Cond,,0.290439,2011
WILTS,Unknown,41.1608,-88.9391,48811,PM2.5 Primary (Filt + Cond,Airport,0.00729319,2011
Rochelle Municipal Landfill #2,6513 Mulford,41.9239,-88.9919,562212,PM2.5 Primary (Filt + Cond,Landfill,1.49,2011
WestRock CP LLC,775 S Linwood Rd,40.9384,-90.4006,322211,PM2.5 Primary (Filt + Cond,,0.069591623,2011
Payne & Dolan Inc,28327 W Route 173,42.4782,-88.1856,324121,PM2.5 Primary (Filt + Cond,Hot Mix Asphalt Plant,0.57,2011
Peerless Industries Inc,2300 White Oak Cir,41.7986,-88.2582,332510,PM2.5 Primary (Filt + Cond,,0.682545,2011
RCM Co-op,300 N Washington,39.8755,-89.9239,424510,PM2.5 Primary (Filt + Cond,,0.22143120531,2011
Bunge Grain Milling Inc,402 E Coffeen St,40.0346,-87.9522,424510,PM2.5 Primary (Filt + Cond,,0.876,2011
Johnston Airport,Unknown,40.3347,-88.9537,48811,PM2.5 Primary (Filt + Cond,Airport,0.00800038,2011
Crown Cork & Seal Co Inc,970 W North St,39.9342,-89.0764,332431,PM2.5 Primary (Filt + Cond,Fabricated Metal Products Plant,0.04,2011
Castwell Products Inc,7800 Austin Ave,42.0239,-87.7778,331511,PM2.5 Primary (Filt + Cond,"Foundries, Iron and Steel",6.69515163,2011
Kempton Grain & Fertilizer,202 Main St,40.9352,-88.2371,424510,PM2.5 Primary (Filt + Cond,,0.315429,2011
Southern Illinois Materials Co,Route 37 N,37.4928,-88.9695,324121,PM2.5 Primary (Filt + Cond,Hot Mix Asphalt Plant,1.5090398,2011
Quality Ready Mix Concrete Co,W End Of W Third,41.6748,-89.951,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Lafarge Aggregates IL Inc Lafarge Utica Quarry,178 N 27th St,41.3318,-89.0175,212312,PM2.5 Primary (Filt + Cond,,0.07256002,2011
Consolidated Grain & Barge Co,RR 1 Box 2096,40.861,-90.9698,424510,PM2.5 Primary (Filt + Cond,,0.578541063,2011
Arrow Gear Co,2301 Curtiss St,41.7917,-88.0411,333612,PM2.5 Primary (Filt + Cond,,0.097844713,2011
Vulcan Construction Materials LLC,595 W Laraway Rd,41.4849,-88.0915,212312,PM2.5 Primary (Filt + Cond,,0.475835,2011
Limekiln Asphalt Plt,1816 Limekiln Rd,42.0417,-89.3611,324121,PM2.5 Primary (Filt + Cond,,0.30505053,2011
Prairie Farms Dairy Inc,1100 Broadway,39.2926,-89.8795,311513,PM2.5 Primary (Filt + Cond,Food Products Processing Plant,0.08,2011
Livingston Stone Corp,11828 N 1600 E Rd,40.7979,-88.6219,212312,PM2.5 Primary (Filt + Cond,,0.306,2011
Ranger Redi-Mix,1100 Borden Ln,42.3291,-88.4601,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.091866275,2011
WW Asphalt Inc,13058 Galt Rd,41.7865,-89.7621,324121,PM2.5 Primary (Filt + Cond,Hot Mix Asphalt Plant,0.194999,2011
Cessford Construction Co,RR 1 Box 227,40.8058,-90.9953,212312,PM2.5 Primary (Filt + Cond,,0,2011
Kentland Elevator & Supply Inc,300 S 4th St,40.7675,-87.5646,424510,PM2.5 Primary (Filt + Cond,,0.442562034,2011
Molex LLC,2222 Wellington Ave,41.7961,-88.0989,334417,PM2.5 Primary (Filt + Cond,,0.012,2011
Jurassic Landings Ultralight Flightpark,1 mile ENE of Essex,41.188,-88.167,48811,PM2.5 Primary (Filt + Cond,Airport,0.010015,2011
Woodlawn Cemetery of Chicago Inc,7600 W Cermak Rd,41.8505,-87.8154,812220,PM2.5 Primary (Filt + Cond,Crematory - Human,0.158,2011
Sidell Agri Services,104 Chicago St,39.9101,-87.8232,424510,PM2.5 Primary (Filt + Cond,,0.474782013,2011
B & C,Unknown,41.593,-88.9669,48811,PM2.5 Primary (Filt + Cond,Airport,0.00783787,2011
Dow Chemical Co,26332 S Frontage Rd,41.4026,-88.1997,326140,PM2.5 Primary (Filt + Cond,,1.67,2011
Eaton Corp,1725 1200th Ave,40.1677,-89.3702,335313,PM2.5 Primary (Filt + Cond,,1.1605786,2011
Alton Memorial Hospital,1 Memorial Dr,38.9001,-90.1589,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.155,2011
Gibson Area Hospital,1120 N Melvin St,40.4797,-88.3695,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Fresenius Medical Care,410 W R B Garrett Ave,40.693,-89.5989,621492,PM2.5 Primary (Filt + Cond,,0.000864,2011
Interurban ILAWC,9300 St Clair Ave,38.5962,-90.046,221310,PM2.5 Primary (Filt + Cond,,0,2011
New CIE OPCO LLC,23133 E Rte 6,40.5012,-90.0067,325193,PM2.5 Primary (Filt + Cond,Ethanol Biorefineries/Soy Biodiesel,0,2011
Olin Corp,427 N Shamrock St,38.8878,-90.112,332994,PM2.5 Primary (Filt + Cond,Fabricated Metal Products Plant,3.80876,2011
Gallagher Asphalt Corp,18100 S Indiana Ave,41.5602,-87.6161,324121,PM2.5 Primary (Filt + Cond,Hot Mix Asphalt Plant,2.24216,2011
Provena Hospitals d/b/a St Joseph Med,333 N Madison St,41.5283,-88.1365,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.60390887,2011
Havana Dock Enterprises LLC,17810 E Manito Rd,40.3128,-90.064,488310,PM2.5 Primary (Filt + Cond,,1.6700123,2011
Encompass Grain & Rail Coop,608 E 6th St,40.3709,-89.5442,424510,PM2.5 Primary (Filt + Cond,,0.38960687,2011
Capital Ready Mix,1900 E Mason,39.8053,-89.6288,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.75177409464,2011
Callendar Const,30810 Quarry Rd,39.704,-90.6611,212312,PM2.5 Primary (Filt + Cond,,0.223961586,2011
NestleUSA/Libbys,216 N Morton Ave,40.6142,-89.4636,311421,PM2.5 Primary (Filt + Cond,,0.57,2011
Johnson Controls Battery Group Inc,300 S Glengarry Dr,41.8837,-88.2849,335911,PM2.5 Primary (Filt + Cond,Battery Plant,1.676430476,2011
Gencor Asphalt Plt,Rt 29,39.5748,-89.3155,324121,PM2.5 Primary (Filt + Cond,,1.81895367,2011
St Francis Medical Center,530 NE Glen Oak Ave,40.7019,-89.592,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.8831311,2011
Freeport Memorial Hospital,1045 W Stephenson,42.2948,-89.6379,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Tool King Inc,275 Larkin Dr,42.1175,-87.9095,331511,PM2.5 Primary (Filt + Cond,,0.0740506,2011
MAPLE HURST FARMS,Unknown,42.0084,-89.0468,48811,PM2.5 Primary (Filt + Cond,Airport,0.0000816615,2011
Proctor Hospital,5409 N Knoxville Ave,40.7535,-89.5988,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Rollex Corp,800 Chase Ave,42.0109,-87.9746,331524,PM2.5 Primary (Filt + Cond,"Foundries, non-ferrous",0.42,2011
ADC LP,1720 S Wolf Rd,42.0988,-87.9107,333514,PM2.5 Primary (Filt + Cond,,0.00538936,2011
Farmers Coop Assn,603 Main St,41.0345,-89.228,424510,PM2.5 Primary (Filt + Cond,,1.0322686,2011
RW Manufacturing Inc,600 S Lake St,41.7486,-88.3317,337127,PM2.5 Primary (Filt + Cond,,0.15816851,2011
Tetten Grain,Rural,41.7771,-89.7621,424510,PM2.5 Primary (Filt + Cond,,0.3677282,2011
Akerue Industries LLC,90 McMillen Rd,42.4731,-88.0895,337124,PM2.5 Primary (Filt + Cond,Fabricated Metal Products Plant,0.00906977,2011
Rocknel Fastener Inc,5309 Eleventh St,42.2045,-89.0743,332722,PM2.5 Primary (Filt + Cond,,0.2471756,2011
St Regis Manufacturing LLC trading as RS Owens & Co,5535 N Lynch Ave,41.9817,-87.7598,332215,PM2.5 Primary (Filt + Cond,,0.330287761,2011
Verizon Wireless,1550 Memorial Blvd,42.2815,-89.1558,517210,PM2.5 Primary (Filt + Cond,,0.01,2011
Evergreen FS Inc,11418 Oak St,40.4507,-88.8081,424510,PM2.5 Primary (Filt + Cond,,0.724701067,2011
Metal Arts Finishing Inc,1001 W Lake St,41.7429,-88.3401,332813,PM2.5 Primary (Filt + Cond,,0.0347059,2011
Rogers Corp - HPF-B,171 W St Charles Rd,41.9016,-88.1243,325212,PM2.5 Primary (Filt + Cond,,0.058125,2011
M & M Service Co,201 E State St,39.207,-89.4041,424510,PM2.5 Primary (Filt + Cond,,0.1435933429,2011
Odum Concrete Products Inc,1800 N Court St,37.7488,-88.9336,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.46697893,2011
Mont Eagle Mills Inc,301 N Pike St,39.005,-87.6152,311119,PM2.5 Primary (Filt + Cond,,0.2465273497,2011
Thelen Sand & Gravel Inc,N 191 Lange Rd,42.4931,-88.3867,212321,PM2.5 Primary (Filt + Cond,,0.6462468,2011
Engineered Polymer Solutions dba Valspar Coatings,21901 Central Ave,41.4936,-87.7472,325510,PM2.5 Primary (Filt + Cond,,0.914118,2011
Environtech Inc,1800 Ashley Rd,41.3847,-88.3959,562212,PM2.5 Primary (Filt + Cond,Landfill,0.27,2011
Gateway Regional Medical Center,2100 Madison Ave,38.7,-90.1433,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Ursa Farmers Coop,207 E Jefferson St,40.0413,-91.0638,424510,PM2.5 Primary (Filt + Cond,,0.037782457,2011
ADM Grain Co,Tow Path Rd,41.3426,-88.7999,424510,PM2.5 Primary (Filt + Cond,,0.87811503,2011
Hamilton Memorial Hospital,611 S Marshall,38.0863,-88.54,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Total Grain Marketing LLC,205 S Maple St,38.9891,-88.1684,424510,PM2.5 Primary (Filt + Cond,,0.25161108,2011
GITTLESON FARMS,Unknown,41.7973,-89.2735,48811,PM2.5 Primary (Filt + Cond,Airport,0.00706535,2011
MITEK,Unknown,42.4973,-89.7917,48811,PM2.5 Primary (Filt + Cond,Airport,0.0000816615,2011
Carbit Paint Co,927 W Blackhawk St,41.9075,-87.6519,325510,PM2.5 Primary (Filt + Cond,,0.00905882,2011
31st Street Energy LLC,11700 31st St,41.835,-87.9164,221112,PM2.5 Primary (Filt + Cond,Electricity Generation via Combustion,5.88,2011
Heaton Grain Co,19097 E 3750 N Rd,40.4114,-87.5892,424510,PM2.5 Primary (Filt + Cond,,0.51018746,2011
Staley Concrete Co Inc,4106 Kearns Dr,40.111,-88.3129,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.93628858,2011
RiverStone Group Inc,24620 222nd Ave N,41.7465,-90.2984,212321,PM2.5 Primary (Filt + Cond,,0.0151882,2011
Kinder Morgan Cahokia Terminal,2 Monsanto Ave,38.602,-90.1833,488310,PM2.5 Primary (Filt + Cond,,5.5437049737,2011
Ready Mix Solutions LLC,300 N McKinley St,37.4617,-89.2411,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.235294,2011
Sims Recycling Solutions,1600 Harvester Rd,41.9014,-88.2346,423930,PM2.5 Primary (Filt + Cond,,0.1201074,2011
Prairie Material Sales Inc,910 S Airport Rd,39.8333,-88.8785,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Pella Corp,111 Pella Pl,40.461,-90.6208,321911,PM2.5 Primary (Filt + Cond,"Woodwork, Furniture, Millwork Manufacturing",0.0496,2011
Hanson Material Service Yd 10,1451 675th Ave,40.1301,-89.4642,212312,PM2.5 Primary (Filt + Cond,,0.0548235,2011
Morrison Community Hospital,303 N Jackson St,41.8094,-89.9574,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
MC CURDY STRIP,Unknown,42.4469,-88.9004,48811,PM2.5 Primary (Filt + Cond,Airport,0.0000816615,2011
Ruff Brothers Grain Co,Corner of Front & Walnut,40.9874,-89.0431,424510,PM2.5 Primary (Filt + Cond,,0.4208412657,2011
Vuteq USA,2222 W College Ave,40.5049,-89.0402,327215,PM2.5 Primary (Filt + Cond,,0.015,2011
Monica Elevator Co,19213 N Main St,40.923,-89.8211,424510,PM2.5 Primary (Filt + Cond,,0.060466734,2011
Nitrex Inc,1900 Plain Ave,41.7693,-88.2649,332811,PM2.5 Primary (Filt + Cond,,0.12,2011
Fairfield Municipal Airport,State Route 15,38.3779,-88.4076,488119,PM2.5 Primary (Filt + Cond,Airport,0.4105793,2011
Land & Lakes Co,1371 N Joliet Rd,41.6706,-88.0535,562212,PM2.5 Primary (Filt + Cond,Landfill,0.11,2011
Meyer Steel Drum Inc,3201 S Millard,41.8347,-87.7152,811211,PM2.5 Primary (Filt + Cond,,3.945,2011
Farmers Grain and Coal Co,110 SE 3rd Ave,41.2007,-90.7463,424510,PM2.5 Primary (Filt + Cond,,0.06618576,2011
Meredosia Terminal Inc,Rural,39.8359,-90.5737,493190,PM2.5 Primary (Filt + Cond,,0.3,2011
MICHAEL PFISTER,Unknown,40.7794,-89.2578,48811,PM2.5 Primary (Filt + Cond,Airport,0.00707352,2011
Galena Road Gravel Inc,5129 E Truitt Ave,40.9245,-89.5141,212312,PM2.5 Primary (Filt + Cond,,1.0048764,2011
Connelly-GPM Inc,3154 S California Ave,41.8351,-87.6959,332618,PM2.5 Primary (Filt + Cond,,0.034889578,2011
DEPT OF CORRECTIONS,Unknown,38.9727,-90.4624,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Microsoft Corp-Chicago Data Center,601 Northwest Ave,41.9231,-87.9183,541513,PM2.5 Primary (Filt + Cond,,0.781064,2011
American Redi Mix Corp,2000 W 135th St,41.6374,-88.1612,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.00137905915,2011
Hahn Ready Mix Co,1600 SE 6th St,41.1969,-90.7303,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.966387,2011
Ingersoll Airport,250 S Avenue D,40.5707,-90.0739,488119,PM2.5 Primary (Filt + Cond,Airport,0.865595,2011
IL Bell Telephone Co dba AT&T Illinois,20 N Main St,41.8879,-88.0186,517911,PM2.5 Primary (Filt + Cond,,0.00448,2011
SD AERO,Unknown,42.4328,-88.7172,48811,PM2.5 Primary (Filt + Cond,Airport,0.00766312,2011
Pinnacle Food Group LLC,3801 Dewitt Ave,39.4889,-88.4067,311813,PM2.5 Primary (Filt + Cond,,0.2911904,2011
Calco Plating Co,414 N Wood St,41.8892,-87.6723,332813,PM2.5 Primary (Filt + Cond,,0.03419518,2011
Atlantic Press Inc,6721 W 73rd St,41.7587,-87.7876,323111,PM2.5 Primary (Filt + Cond,Printing/Publishing Facility,0.06,2011
Pet Heaven Inc,1500 Boyce Memorial Dr,41.3532,-88.8645,812910,PM2.5 Primary (Filt + Cond,,0.04,2011
Alton & Southern Railroad Co,1000 S 22nd St,38.5991,-90.1488,482111,PM2.5 Primary (Filt + Cond,,0.0117391,2011
Farmers Elevator Co,51 W 4th,41.2539,-87.8333,424510,PM2.5 Primary (Filt + Cond,,0.6105377,2011
Georgia Pacific Corrugated LLC,900 S Rte 66,39.064,-89.7335,322211,PM2.5 Primary (Filt + Cond,,1.207359,2011
Klein Tools Inc,450 Bond St,42.1894,-87.9499,332216,PM2.5 Primary (Filt + Cond,,0.003,2011
Cargill Inc,401 River Rd,39.6236,-90.6085,424510,PM2.5 Primary (Filt + Cond,,0.101,2011
Nanochem Solutions Inc,5350 Donlar Ave,41.3758,-89.142,325998,PM2.5 Primary (Filt + Cond,Chemical Plant,0.025,2011
Southern Illinois Redi-mix Inc,2400 N Skyline Dr,37.7553,-88.9847,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,1.44866545,2011
Prairie Central Coop,32546 N 2100 E,41.1009,-88.527,424510,PM2.5 Primary (Filt + Cond,,0.187342959,2011
Kienstra-Illinois LLC,6366 Center Grover Rd,38.7819,-89.9545,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.034587156,2011
MEYER,Unknown,41.0172,-90.877,48811,PM2.5 Primary (Filt + Cond,Airport,0.00698124,2011
Rogers Ready-mix & Materials Inc,777 Wood St,41.9146,-89.0532,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0010864705,2011
American Bare Conductor Inc,2969 Chartres St,41.3625,-89.1091,331420,PM2.5 Primary (Filt + Cond,,0.066962,2011
ADM Grain Co,309 S Railroad St,38.7488,-89.0966,424510,PM2.5 Primary (Filt + Cond,,0.1009178,2011
Brickyard Energy Partners LLC,601 E Brickyard Rd,40.1011,-87.6003,221112,PM2.5 Primary (Filt + Cond,Electricity Generation via Combustion,6.46,2011
MURPHY FARMS,Unknown,39.4236,-89.5655,48811,PM2.5 Primary (Filt + Cond,Airport,0.0070482,2011
Industrial Council of Northwest Chicago,2023 W Carroll Ste 280,41.8874,-87.6779,531120,PM2.5 Primary (Filt + Cond,,0.01,2011
Perfection Plating Inc,1521 Morse Ave,41.9995,-87.9624,332813,PM2.5 Primary (Filt + Cond,,0.312,2011
Tickle Asphalt Co,E 550th St,41.4479,-90.3285,324121,PM2.5 Primary (Filt + Cond,Hot Mix Asphalt Plant,0,2011
John B Sanfilippo & Sons Inc,1701 Randall Rd,42.0747,-88.3314,311911,PM2.5 Primary (Filt + Cond,Food Products Processing Plant,0.308,2011
Illinois Valley Community Hospital,925 West St,41.329,-89.1239,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
CLARKE,Unknown,41.9864,-88.1012,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Tube City IMS LLC,2500 E 23rd St,38.7015,-90.1282,561990,PM2.5 Primary (Filt + Cond,,5.35588235,2011
Gerresheimer Glass Inc,1131 Arnold St,41.5104,-87.6193,327213,PM2.5 Primary (Filt + Cond,Glass Plant,2.36909091,2011
WEIHLER,Unknown,41.3146,-90.5521,48811,PM2.5 Primary (Filt + Cond,Airport,0.00755287,2011
Littlejohn Grain Inc,210 E Vine St,39.3351,-87.8801,424510,PM2.5 Primary (Filt + Cond,,0.1275468897,2011
Oak State Products Inc,775 S Hwy 251,41.0384,-89.0505,311821,PM2.5 Primary (Filt + Cond,,0.11,2011
BIG MUDDY CORRECTIONAL FACILITY,Unknown,38.1302,-88.9052,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Duro-Chrome Industries,275 Industrial Dr,42.2815,-88.1472,332813,PM2.5 Primary (Filt + Cond,,0.04,2011
Princeton Redi-Mix Inc,533 E Railroad Ave,41.3898,-89.455,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,1.9449709,2011
Alliance Grain Co,509 Washington St,40.4237,-88.5249,424510,PM2.5 Primary (Filt + Cond,,0.1645935567,2011
Richardson Electronics Ltd,40W267 Keslinger Rd,41.8812,-88.4022,334419,PM2.5 Primary (Filt + Cond,,0.0294118,2011
Cargill Inc,Rt 89 S of Illinois River,41.3106,-89.202,424510,PM2.5 Primary (Filt + Cond,,0.6738986,2011
Mid-America Carbonates,Hwy 146 W,37.4963,-88.2025,212312,PM2.5 Primary (Filt + Cond,,1.45705807,2011
Grand Victoria Casino,250 S Grove Ave,42.0314,-88.2797,713210,PM2.5 Primary (Filt + Cond,,0.119,2011
Ideal Ready Mix Co Inc,Rt 136 W,40.3946,-91.2552,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0059278045,2011
Little Company of Mary Hospital,2800 W 95th St,41.722,-87.6926,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",1.230006,2011
ADM Co,2100 Jasper St,39.8659,-88.9398,332410,PM2.5 Primary (Filt + Cond,Industrial Machinery or Equipment Plant,0.027725,2011
East Lincoln Farmers Grain Co,IL Rte 10 3 1/2 Miles E,40.1425,-89.29,424510,PM2.5 Primary (Filt + Cond,,0.352689544,2011
Heligear Acquisition Co dbaNorthstar Aerospace (Chicago) Inc,6006 W 73rd St,41.7611,-87.7722,336413,PM2.5 Primary (Filt + Cond,"Aircraft, Aerospace, or Related Parts Plant",0.22,2011
